#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
👨‍🚒	man firefighter	fire | firefighter | firetruck | man | man firefighter	mannlig brannkonstabel	brannbil | brannkonstabel | brannmann | brannvesenet | mann | mannlig brannkonstabel	de	Feuerwehrmann	Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Mann	it	pompiere uomo	fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo | uomo | vigile del fuoco	fr	pompier homme	camion de pompiers | casque | casque de pompier | homme | métier | pompier | pompier homme
👨🏻‍🚒	man firefighter: light skin tone	fire | firefighter | firetruck | light skin tone | man | man firefighter (skin tone) | man firefighter: light skin tone	mannlig brannkonstabel: hudtype 1–2	brannbil | brannkonstabel | brannmann | brannvesenet | hudtype 1–2 | mann | mannlig brannkonstabel | mannlig brannkonstabel: hudtype 1–2	de	Feuerwehrmann: helle Hautfarbe	Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Feuerwehrmann: helle Hautfarbe | helle Hautfarbe | Mann	it	pompiere uomo: carnagione chiara	carnagione chiara | fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo: carnagione chiara | uomo | vigile del fuoco	fr	pompier homme : peau claire	camion de pompiers | casque | casque de pompier | homme | métier | peau claire | pompier | pompier homme : peau claire
👨🏼‍🚒	man firefighter: medium-light skin tone	fire | firefighter | firetruck | man | man firefighter (skin tone) | man firefighter: medium-light skin tone | medium-light skin tone	mannlig brannkonstabel: hudtype 3	brannbil | brannkonstabel | brannmann | brannvesenet | hudtype 3 | mann | mannlig brannkonstabel | mannlig brannkonstabel: hudtype 3	de	Feuerwehrmann: mittelhelle Hautfarbe	Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Feuerwehrmann: mittelhelle Hautfarbe | Mann | mittelhelle Hautfarbe	it	pompiere uomo: carnagione abbastanza chiara	carnagione abbastanza chiara | fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo: carnagione abbastanza chiara | uomo | vigile del fuoco	fr	pompier homme : peau moyennement claire	camion de pompiers | casque | casque de pompier | homme | métier | peau moyennement claire | pompier | pompier homme : peau moyennement claire
👨🏽‍🚒	man firefighter: medium skin tone	fire | firefighter | firetruck | man | man firefighter (skin tone) | man firefighter: medium skin tone | medium skin tone	mannlig brannkonstabel: hudtype 4	brannbil | brannkonstabel | brannmann | brannvesenet | hudtype 4 | mann | mannlig brannkonstabel | mannlig brannkonstabel: hudtype 4	de	Feuerwehrmann: mittlere Hautfarbe	Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Feuerwehrmann: mittlere Hautfarbe | Mann | mittlere Hautfarbe	it	pompiere uomo: carnagione olivastra	carnagione olivastra | fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo: carnagione olivastra | uomo | vigile del fuoco	fr	pompier homme : peau légèrement mate	camion de pompiers | casque | casque de pompier | homme | métier | peau légèrement mate | pompier | pompier homme : peau légèrement mate
👨🏾‍🚒	man firefighter: medium-dark skin tone	fire | firefighter | firetruck | man | man firefighter (skin tone) | man firefighter: medium-dark skin tone | medium-dark skin tone	mannlig brannkonstabel: hudtype 5	brannbil | brannkonstabel | brannmann | brannvesenet | hudtype 5 | mann | mannlig brannkonstabel | mannlig brannkonstabel: hudtype 5	de	Feuerwehrmann: mitteldunkle Hautfarbe	Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Feuerwehrmann: mitteldunkle Hautfarbe | Mann | mitteldunkle Hautfarbe	it	pompiere uomo: carnagione abbastanza scura	carnagione abbastanza scura | fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo: carnagione abbastanza scura | uomo | vigile del fuoco	fr	pompier homme : peau mate	camion de pompiers | casque | casque de pompier | homme | métier | peau mate | pompier | pompier homme : peau mate
👨🏿‍🚒	man firefighter: dark skin tone	dark skin tone | fire | firefighter | firetruck | man | man firefighter (skin tone) | man firefighter: dark skin tone	mannlig brannkonstabel: hudtype 6	brannbil | brannkonstabel | brannmann | brannvesenet | hudtype 6 | mann | mannlig brannkonstabel | mannlig brannkonstabel: hudtype 6	de	Feuerwehrmann: dunkle Hautfarbe	dunkle Hautfarbe | Feuerwehr | Feuerwehrhelm | Feuerwehrmann | Feuerwehrmann: dunkle Hautfarbe | Mann	it	pompiere uomo: carnagione scura	carnagione scura | fuoco | incendio | lavoro | pompiere | pompiere maschio | pompiere uomo: carnagione scura | uomo | vigile del fuoco	fr	pompier homme : peau foncée	camion de pompiers | casque | casque de pompier | homme | métier | peau foncée | pompier | pompier homme : peau foncée
👨‍🦯‍➡️	man with white cane: facing right	accessibility | blind | cane | facing | man | man with white cane facing right | man with white cane: facing right | probing | right | white	mann med blindestokk: vendt mot høyre	blind | høyre | mann | mann med blindestokk | mann med blindestokk: vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: nach rechts	Barrierefreiheit | Behinderung | blind | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: nach rechts | Mensch | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: a destra	a | accessibilità | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : vers la droite | la | malvoyant | vers
👨🏻‍🦯‍➡️	man with white cane: light skin tone, facing right	accessibility | blind | cane | facing | light skin tone | man | man with white cane facing right (skin tone) | man with white cane: light skin tone, facing right | probing | right | white	mann med blindestokk: hudtype 1–2, vendt mot høyre	blind | hudtype 1–2 | høyre | mann | mann med blindestokk | mann med blindestokk: hudtype 1–2, vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: helle Hautfarbe, nach rechts	Barrierefreiheit | Behinderung | blind | helle Hautfarbe | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: helle Hautfarbe, nach rechts | Mensch | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione chiara e a destra	a | accessibilità | carnagione chiara | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione chiara e a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : peau claire et vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau claire et vers la droite | la | malvoyant | peau claire | vers
👨🏼‍🦯‍➡️	man with white cane: medium-light skin tone, facing right	accessibility | blind | cane | facing | man | man with white cane facing right (skin tone) | man with white cane: medium-light skin tone, facing right | medium-light skin tone | probing | right | white	mann med blindestokk: hudtype 3, vendt mot høyre	blind | hudtype 3 | høyre | mann | mann med blindestokk | mann med blindestokk: hudtype 3, vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: mittelhelle Hautfarbe, nach rechts	Barrierefreiheit | Behinderung | blind | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: mittelhelle Hautfarbe, nach rechts | Mensch | mittelhelle Hautfarbe | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione abbastanza chiara e a destra	a | accessibilità | carnagione abbastanza chiara | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione abbastanza chiara e a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : peau moyennement claire et vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau moyennement claire et vers la droite | la | malvoyant | peau moyennement claire | vers
👨🏽‍🦯‍➡️	man with white cane: medium skin tone, facing right	accessibility | blind | cane | facing | man | man with white cane facing right (skin tone) | man with white cane: medium skin tone, facing right | medium skin tone | probing | right | white	mann med blindestokk: hudtype 4, vendt mot høyre	blind | hudtype 4 | høyre | mann | mann med blindestokk | mann med blindestokk: hudtype 4, vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: mittlere Hautfarbe, nach rechts	Barrierefreiheit | Behinderung | blind | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: mittlere Hautfarbe, nach rechts | Mensch | mittlere Hautfarbe | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione olivastra e a destra	a | accessibilità | carnagione olivastra | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione olivastra e a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : peau légèrement mate et vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau légèrement mate et vers la droite | la | malvoyant | peau légèrement mate | vers
👨🏾‍🦯‍➡️	man with white cane: medium-dark skin tone, facing right	accessibility | blind | cane | facing | man | man with white cane facing right (skin tone) | man with white cane: medium-dark skin tone, facing right | medium-dark skin tone | probing | right | white	mann med blindestokk: hudtype 5, vendt mot høyre	blind | hudtype 5 | høyre | mann | mann med blindestokk | mann med blindestokk: hudtype 5, vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: mitteldunkle Hautfarbe, nach rechts	Barrierefreiheit | Behinderung | blind | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: mitteldunkle Hautfarbe, nach rechts | Mensch | mitteldunkle Hautfarbe | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione abbastanza scura e a destra	a | accessibilità | carnagione abbastanza scura | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione abbastanza scura e a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : peau mate et vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau mate et vers la droite | la | malvoyant | peau mate | vers
👨🏿‍🦯‍➡️	man with white cane: dark skin tone, facing right	accessibility | blind | cane | dark skin tone | facing | man | man with white cane facing right (skin tone) | man with white cane: dark skin tone, facing right | probing | right | white	mann med blindestokk: hudtype 6, vendt mot høyre	blind | hudtype 6 | høyre | mann | mann med blindestokk | mann med blindestokk: hudtype 6, vendt mot høyre | mot | tilgjengelighet | vendt	de	Mann mit Langstock: dunkle Hautfarbe, nach rechts	Barrierefreiheit | Behinderung | blind | dunkle Hautfarbe | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: dunkle Hautfarbe, nach rechts | Mensch | nach | Person | rechts | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione scura e a destra	a | accessibilità | carnagione scura | cecità | cieco | destra | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione scura e a destra | uomo con bastone per ciechi	fr	homme avec canne blanche : peau foncée et vers la droite	accessibilité | aveugle | droite | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau foncée et vers la droite | la | malvoyant | peau foncée | vers
👨‍🦯	man with white cane	accessibility | blind | cane | man | man with white cane | probing | white	mann med blindestokk	blind | mann | mann med blindestokk | tilgjengelighet	de	Mann mit Langstock	Barrierefreiheit | Behinderung | blind | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mensch | Person | sehbehindert	it	uomo con bastone bianco di orientamento	accessibilità | cecità | cieco | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone per ciechi	fr	homme avec canne blanche	accessibilité | aveugle | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | malvoyant
👨🏻‍🦯	man with white cane: light skin tone	accessibility | blind | cane | light skin tone | man | man with white cane (skin tone) | man with white cane: light skin tone | probing | white	mann med blindestokk: hudtype 1–2	blind | hudtype 1–2 | mann | mann med blindestokk | mann med blindestokk: hudtype 1–2 | tilgjengelighet	de	Mann mit Langstock: helle Hautfarbe	Barrierefreiheit | Behinderung | blind | helle Hautfarbe | Mann | Mann mit Blindenstock | Mann mit Gehstock | Mann mit Langstock | Mann mit Langstock: helle Hautfarbe | Mensch | Person | sehbehindert	it	uomo con bastone bianco di orientamento: carnagione chiara	accessibilità | carnagione chiara | cecità | cieco | ipovedente | ipovedenti | non vedente | non vedenti | persona | uomo | uomo con bastone bianco di orientamento | uomo con bastone bianco di orientamento: carnagione chiara | uomo con bastone per ciechi	fr	homme avec canne blanche : peau claire	accessibilité | aveugle | déficient visuel | handicap | handicap visuel | homme | homme avec canne blanche | homme avec canne blanche : peau claire | malvoyant | peau claire
